rental_id,price,bedrooms,bathrooms,size_sqft,min_to_subway,floor,building_age_yrs,no_fee,has_roofdeck,has_washer_dryer,has_doorman,has_elevator,has_dishwasher,has_patio,has_gym,neighborhood,borough
1545,255000,0,1,480,9,2,17,1,1,0,0,1,1,0,1,Upper East Side,Manhattan
2472,1150000,2,2,2000,4,1,96,0,0,0,0,0,0,0,0,Greenwich Village,Manhattan
2919,450000,1,1,916,2,51,29,0,1,0,1,1,1,0,0,Midtown,Manhattan
2790,479500,1,1,975,3,8,31,0,0,0,1,1,1,0,1,Greenwich Village,Manhattan
3946,1750000,2,2,4800,3,4,136,0,0,0,1,1,1,0,1,Soho,Manhattan
10817,380000,3,2,1100,3,5,101,0,0,0,0,0,0,0,0,Central Harlem,Manhattan
9077,199500,0,0,600,6,1,115,0,0,0,0,0,0,0,0,Midtown East,Manhattan
5150,299500,0,1,579,6,21,33,0,0,0,0,0,0,0,0,Battery Park City,Manhattan
9507,1500000,2,2,1715,0,30,2,0,0,0,0,0,0,0,0,Flatiron,Manhattan
1437,465000,1,1,915,5,5,106,0,0,0,0,0,0,0,0,Upper East Side,Manhattan
404,295000,1,1,550,43,17,14,1,1,0,1,1,0,0,0,Upper East Side,Manhattan
8293,692000,3,2,1439,7,9,39,1,0,0,0,0,0,0,0,Midtown East,Manhattan
6594,487500,1,1,900,1,14,52,1,0,1,1,1,1,0,1,East Village,Manhattan
2964,485000,1,1,789,2,40,11,0,0,0,0,0,0,0,0,Midtown West,Manhattan
5405,370000,1,1,947,5,5,85,1,0,1,0,1,0,1,0,Upper East Side,Manhattan
5635,420000,2,1,900,4,8,111,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
5832,219500,1,1,500,3,3,106,1,0,0,0,0,0,0,0,Lower East Side,Manhattan
7050,420000,1,1,640,3,15,52,1,0,0,0,0,0,0,0,Tribeca,Manhattan
476,900000,2,2,1749,4,15,10,0,0,0,1,0,0,0,0,Midtown East,Manhattan
3491,495000,1,1,870,2,9,11,0,1,1,0,0,1,0,0,Midtown,Manhattan
2172,300000,0.5,1,573,11,8,31,0,0,0,0,1,0,0,0,Upper East Side,Manhattan
2443,245000,1,1,700,3,2,106,0,0,0,0,0,0,0,0,Central Harlem,Manhattan
11328,195000,0,1,400,6,3,56,0,1,1,0,0,1,0,0,Gramercy Park,Manhattan
6142,337500,1,1,652,3,12,15,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
6216,239500,2.5,1,1000,3,1,106,0,0,0,0,0,0,0,0,East Harlem,Manhattan
9535,499000,1,1,823,5,22,44,1,0,0,0,0,0,0,0,Midtown East,Manhattan
4678,749500,2,2,1431,3,4,10,0,1,1,1,1,1,0,1,Upper West Side,Manhattan
5169,1000000,1,2,1600,2,3,5,1,0,0,0,1,0,0,0,Tribeca,Manhattan
5230,309000,2,1,800,10,3,106,0,0,0,0,0,0,0,0,East Village,Manhattan
1710,1090400,3,3,1307,6,26,6,1,0,0,0,0,0,0,0,Upper West Side,Manhattan
11111,210000,0,1,410,8,3,106,0,0,0,0,0,0,0,0,Midtown West,Manhattan
10393,249900,0,1,400,2,3,116,1,1,1,1,1,0,0,1,Upper West Side,Manhattan
